epoch,train_loss,val_loss,val_acc
1,0.5650455713272095,0.5109744501610597,0.7354817708333333
2,0.5612188459684452,0.5330983802676201,0.7140625
3,0.5605790866538882,0.5520426365236442,0.6962239583333333
4,0.5601525681714217,0.5368173629045486,0.7100911458333333
5,0.559530546143651,0.5013248550395171,0.7375
6,0.5624715270474553,0.5270368464291095,0.7223958333333333
7,0.5627124728634953,0.5365158575276534,0.7029296875
8,0.5616617551073432,0.5806722308198611,0.6725911458333333
9,0.5657913879801829,0.5065658653775851,0.7374348958333333
10,0.5627513061588009,0.5572772937516371,0.6913411458333333
11,0.565470544497172,0.5111472082634767,0.7227213541666667
12,0.5610812913005551,0.5447514635821183,0.7085286458333333
13,0.5598210075870156,0.5193794133762518,0.7315104166666667
14,0.5595974201957384,0.5567019561926524,0.684375
15,0.5643408477306366,0.5063823481400808,0.7317708333333334
16,0.5620170158644517,0.5429469756782055,0.6965494791666667
17,0.560653682736059,0.5229102479914824,0.7200520833333334
18,0.5602276339506109,0.5676140010356903,0.6901692708333333
19,0.5612689032529791,0.5648485670487086,0.6896484375
20,0.5609714921563864,0.5417022123932839,0.7079427083333333
21,0.561140819825232,0.5061371646821499,0.7371744791666667
22,0.5633777960514029,0.5215062513947487,0.71953125
23,0.5584005670621991,0.5363794239858787,0.7169270833333333
24,0.5606149962792794,0.6238152568538984,0.6498046875
25,0.5597697482754787,0.5125685845812161,0.7339192708333333
26,0.5614260707050562,0.5354359144965808,0.7138020833333333
27,0.5620162559052309,0.5517805345356465,0.6903645833333333
28,0.5592921472464999,0.5331711029012998,0.7000651041666667
29,0.5612046166012684,0.6155063308775425,0.65859375
30,0.5584130669012666,0.49591608295838036,0.7336588541666667
31,0.5566917174806197,0.5506120411058267,0.6995442708333334
32,0.5619535703212023,0.4990941849847635,0.740234375
33,0.5611512461056312,0.5367891989648342,0.7078776041666667
34,0.5582168827454249,0.5537278649707635,0.6968098958333333
35,0.5589154115567605,0.5122208006680011,0.7268229166666667
36,0.5646258511890968,0.520236787199974,0.7126953125
37,0.5591701131934921,0.547738791257143,0.6921875
38,0.5608625884478291,0.6323134000102679,0.6277994791666667
39,0.5585666369646788,0.5064777118464311,0.7397135416666667
40,0.5595105941717823,0.5520061711470287,0.6965494791666667
41,0.5549558459470669,0.5556201870242755,0.6973307291666667
42,0.5581748869270087,0.5994783629973729,0.6600911458333333
43,0.5567255889996886,0.52612427820762,0.7202473958333333
44,0.557870471291244,0.6003530484934648,0.6531901041666667
45,0.5607728699843089,0.5289436298112075,0.7169921875
46,0.5594456735998392,0.550648378332456,0.7009765625
47,0.5576077194263538,0.5137521664301554,0.7339192708333333
48,0.5598013138398528,0.5590997487306595,0.6912109375
49,0.5592235098903378,0.5336886450648308,0.7040364583333333
50,0.5568675458431244,0.5383282457788785,0.7109375
51,0.5604350519056122,0.49934194510181745,0.74453125
52,0.560752879952391,0.5587798121074835,0.6953125
53,0.560386185720563,0.5377059583862622,0.6983723958333333
54,0.557990371560057,0.534798796971639,0.7080078125
55,0.5584985476608078,0.5103935879965623,0.7261067708333333
56,0.5576706814269224,0.5791982586185137,0.6837890625
57,0.5598021826396385,0.5415980031092962,0.7069010416666667
58,0.5562749891852339,0.5426339343190193,0.7041015625
